Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,First Purchase Date,Cohort Month,Churned Flag
101,Female,29,New York,Gold,2470.05,86,4.6,TRUE,3,Satisfied,15-11-2025,2025-11,FALSE
102,Male,34,Los Angeles,Silver,2252.89,68,4.1,FALSE,2,Neutral,13-03-2025,2025-03,FALSE
103,Female,43,Chicago,Bronze,816.62,28,3.4,TRUE,54,Unsatisfied,22-02-2026,2026-02,FALSE
104,Male,30,San Francisco,Gold,5917.43,147,4.7,FALSE,33,Satisfied,14-08-2025,2025-08,FALSE
105,Male,27,Miami,Silver,2048.56,82,4,TRUE,47,Unsatisfied,15-09-2024,2024-09,FALSE
106,Female,37,Houston,Bronze,852.64,14,3.1,FALSE,2,Neutral,26-07-2026,2026-07,FALSE
107,Female,31,New York,Gold,2887.99,90,4.5,TRUE,71,Satisfied,16-10-2025,2025-10,FALSE
108,Male,35,Los Angeles,Silver,1041.71,31,4.2,FALSE,45,Neutral,20-11-2025,2025-11,FALSE
109,Female,41,Chicago,Bronze,580.76,23,3.6,TRUE,602,Unsatisfied,08-10-2024,2024-10,TRUE
110,Male,28,San Francisco,Gold,5306.49,141,4.8,FALSE,15,Satisfied,18-03-2025,2025-03,FALSE
111,Male,32,Miami,Silver,6208.77,177,3.8,TRUE,1,Unsatisfied,05-02-2025,2025-02,FALSE
112,Female,36,Houston,Bronze,484.52,17,3.2,FALSE,49,Neutral,02-05-2026,2026-05,FALSE
113,Female,30,New York,Gold,4560.55,143,4.3,TRUE,9,Satisfied,07-07-2025,2025-07,FALSE
114,Male,33,Los Angeles,Silver,3056.76,89,4.4,FALSE,4,Satisfied,27-01-2026,2026-01,FALSE
115,Female,42,Chicago,Bronze,1962.07,71,3.5,TRUE,13,Unsatisfied,01-03-2025,2025-03,FALSE
116,Male,29,San Francisco,Gold,6339.5,180,4.9,FALSE,41,Satisfied,26-11-2024,2024-11,FALSE
117,Male,26,Miami,Silver,4503.33,120,3.7,TRUE,57,Unsatisfied,20-05-2025,2025-05,FALSE
118,Female,38,Houston,Bronze,4323.16,126,3,FALSE,107,Neutral,04-09-2024,2024-09,FALSE
119,Female,32,New York,Gold,1074.44,41,4.7,TRUE,44,Satisfied,17-01-2026,2026-01,FALSE
120,Male,34,Los Angeles,Silver,5021.52,132,4,FALSE,32,Neutral,02-06-2025,2025-06,FALSE
121,Female,43,Chicago,Bronze,973.76,31,3.3,TRUE,156,Unsatisfied,27-10-2025,2025-10,TRUE
122,Male,30,San Francisco,Gold,6675.99,200,4.8,FALSE,2,Satisfied,11-02-2025,2025-02,FALSE
123,Male,27,Miami,Silver,824.16,21,4.1,TRUE,2,Unsatisfied,09-06-2026,2026-06,FALSE
124,Female,37,Houston,Bronze,1129.69,35,3.4,FALSE,1,Neutral,14-03-2026,2026-03,FALSE
125,Female,31,New York,Gold,3279.87,104,4.6,TRUE,5,Satisfied,14-11-2025,2025-11,FALSE
126,Male,35,Los Angeles,Silver,5229.42,149,4.3,FALSE,10,Neutral,27-11-2024,2024-11,FALSE
127,Female,41,Chicago,Bronze,2655.03,82,3.6,TRUE,72,Unsatisfied,20-04-2025,2025-04,TRUE
128,Male,28,San Francisco,Gold,7953.81,250,4.9,FALSE,24,Satisfied,24-08-2024,2024-08,FALSE
129,Male,32,Miami,Silver,3659,127,3.8,TRUE,44,Unsatisfied,01-10-2024,2024-10,FALSE
130,Female,36,Houston,Bronze,2555.74,78,3.1,FALSE,6,Neutral,11-07-2025,2025-07,FALSE
131,Female,30,New York,Gold,6717.01,178,4.5,TRUE,2,Satisfied,14-09-2025,2025-09,FALSE
132,Male,33,Los Angeles,Silver,597.57,16,4.2,FALSE,49,Satisfied,09-06-2026,2026-06,FALSE
133,Female,42,Chicago,Bronze,278.88,16,3.5,TRUE,507,Unsatisfied,12-01-2025,2025-01,TRUE
134,Male,29,San Francisco,Gold,10146.49,290,4.7,FALSE,6,Satisfied,09-02-2025,2025-02,FALSE
135,Male,26,Miami,Silver,318.03,12,3.9,TRUE,405,Unsatisfied,13-04-2025,2025-04,TRUE
136,Female,38,Houston,Bronze,1965.2,57,3.2,FALSE,80,Neutral,20-11-2024,2024-11,FALSE
137,Female,32,New York,Gold,4132.57,141,4.4,TRUE,29,Satisfied,02-10-2024,2024-10,FALSE
