InvoiceNo,Customer ID,InvoiceDate,StockCode,Description,Category,Quantity,UnitPrice,Discount Applied Order,LineTotal
INV100001,101,15-11-2025,SKU015,Cotton Bedsheet Set,Home & Kitchen,1,31.97,TRUE,31.97
INV100001,101,15-11-2025,SKU010,Winter Jacket,Apparel,4,83.72,TRUE,334.88
INV100001,101,15-11-2025,SKU005,Laptop Sleeve,Electronics,3,18.3,TRUE,54.9
INV100001,101,15-11-2025,SKU004,USB-C Charging Cable,Electronics,4,9.47,TRUE,37.88
INV100002,101,30-11-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,4,13.4,TRUE,53.6
INV100002,101,30-11-2025,SKU006,Men's Casual Shirt,Apparel,2,20.36,TRUE,40.72
INV100003,101,01-01-2026,SKU004,USB-C Charging Cable,Electronics,5,9.8,FALSE,49
INV100004,101,27-01-2026,SKU021,Yoga Mat,Sports & Outdoors,5,22.98,FALSE,114.9
INV100005,101,22-03-2026,SKU015,Cotton Bedsheet Set,Home & Kitchen,3,29.02,TRUE,87.06
INV100005,101,22-03-2026,SKU009,Running Shoes,Apparel,5,48.9,TRUE,244.5
INV100005,101,22-03-2026,SKU030,Sketchbook,Books & Stationery,5,8.45,TRUE,42.25
INV100005,101,22-03-2026,SKU011,Non-Stick Frying Pan,Home & Kitchen,5,17.31,TRUE,86.55
INV100005,101,22-03-2026,SKU010,Winter Jacket,Apparel,4,73.13,TRUE,292.52
INV100006,101,20-05-2026,SKU026,Bestselling Novel,Books & Stationery,4,11.56,TRUE,46.24
INV100007,101,13-06-2026,SKU012,Ceramic Dinner Set,Home & Kitchen,3,53.25,FALSE,159.75
INV100007,101,13-06-2026,SKU020,Makeup Kit,Beauty & Personal Care,3,38.65,FALSE,115.95
INV100007,101,13-06-2026,SKU008,Denim Jeans,Apparel,5,42.19,FALSE,210.95
INV100007,101,13-06-2026,SKU007,Women's Summer Dress,Apparel,2,42.42,FALSE,84.84
INV100007,101,13-06-2026,SKU005,Laptop Sleeve,Electronics,5,19.3,FALSE,96.5
INV100008,101,24-07-2026,SKU016,Moisturizing Face Cream,Beauty & Personal Care,1,13.1,TRUE,13.1
INV100008,101,24-07-2026,SKU004,USB-C Charging Cable,Electronics,4,7.47,TRUE,29.88
INV100008,101,24-07-2026,SKU014,Memory Foam Pillow,Home & Kitchen,4,22.19,TRUE,88.76
INV100008,101,24-07-2026,SKU022,Dumbbell Set 10kg,Sports & Outdoors,5,30.67,TRUE,153.35
INV100009,102,13-03-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,1,24.1,FALSE,24.1
INV100010,102,30-07-2025,SKU011,Non-Stick Frying Pan,Home & Kitchen,1,23.72,FALSE,23.72
INV100010,102,30-07-2025,SKU026,Bestselling Novel,Books & Stationery,4,14.75,FALSE,59
INV100010,102,30-07-2025,SKU016,Moisturizing Face Cream,Beauty & Personal Care,3,15.23,FALSE,45.69
INV100010,102,30-07-2025,SKU014,Memory Foam Pillow,Home & Kitchen,1,28.19,FALSE,28.19
INV100010,102,30-07-2025,SKU012,Ceramic Dinner Set,Home & Kitchen,4,57.15,FALSE,228.6
INV100011,102,17-10-2025,SKU014,Memory Foam Pillow,Home & Kitchen,4,31.67,FALSE,126.68
INV100011,102,17-10-2025,SKU029,Desk Organizer,Books & Stationery,3,15.55,FALSE,46.65
INV100011,102,17-10-2025,SKU004,USB-C Charging Cable,Electronics,1,9.5,FALSE,9.5
